AnimalID,MomID,DadID,BGroup,DoB,Sex,Matril,Pedigree,SiblingNo,UniCode
B03,679,,F,3/1/1980,f,Q1056,4,2,G-475
C19,585,,I,3/1/1980,f,Q1066,5,2,G-601
i80431,431,,L,3/3/1980,m,Q1019,5,6,I-759
A92,432,,L,3/4/1980,m,Q1019,5,5,E-429
i80615,615,,J,3/4/1980,m,Q1033,5,3,I-765
B76,FB,,F,3/5/1980,m,Q1050,3,10,E-626
i80729,729,,O,3/6/1980,m,Q1000,5,1,I-774
B38,N2,,F,3/6/1980,f,Q1056,4,9,G-506
B16,734,,M,3/7/1980,f,Q1029,6,1,E-616
B95,417,,J,3/7/1980,m,Q1033,4,6,G-558
B57,7L,,F,3/7/1980,f,Q1053,5,7,G-525
B63,498,,I,3/8/1980,f,Q1066,5,5,G-530
B11,233,,I,3/8/1980,f,Q1083,4,8,G-480
B51,P8,,M,3/8/1980,m,Q1053,4,10,G-521
C20,438,,M,3/8/1980,f,Q1056,5,5,G-603
B00,476,,F,3/9/1980,m,Q1056,5,6,G-473
i80698,698,,F,3/9/1980,m,Q1021,5,2,I-769
B45,762,,J,3/9/1980,m,Q1033,6,1,G-514
B19,A6,,J,3/10/1980,f,Q1033,3,12,G-486
A88,606,,L,3/10/1980,m,Q1019,6,3,G-449
C18,528,,I,3/11/1980,m,Q1066,5,3,E-648
B81,WX,,M,3/11/1980,f,Q1056,3,12,E-627
A86,483,,L,3/11/1980,f,Q1046,5,4,G-448
A84,480,,L,3/12/1980,m,Q1019,5,5,E-426
C06,790,,M,3/12/1980,f,Q1053,5,1,G-589
B80,238,,J,3/12/1980,f,Q1033,4,6,G-544
A99,278,,L,3/13/1980,f,Q1019,5,8,G-457
B92,760,,J,3/13/1980,f,Q1033,5,1,G-555
A87,672,,L,3/14/1980,m,Q1071,5,2,E-428
B46,681,,J,3/14/1980,f,Q1033,5,2,G-515
B56,297,,F,3/16/1980,f,Q1053,5,5,E-619
A85,710,,L,3/16/1980,m,Q1019,6,1,E-427
C21,733,,M,3/16/1980,f,Q1094,3,1,G-604
i80701,701,,O,3/16/1980,m,Q1000,5,2,I-771
B14,740,,M,3/17/1980,f,Q1029,5,1,E-615
B09,317,,I,3/17/1980,m,Q1066,5,7,E-613
i80XN,XN,,L,3/17/1980,m,Q1048,3,11,I-777
B54,W,,M,3/17/1980,m,Q1029,3,9,G-524
C13,526,,I,3/17/1980,f,Q1066,6,4,G-596
B18,Z1,,J,3/18/1980,m,Q1033,4,9,G-485
B22,784,,J,3/18/1980,f,Q1067,5,1,G-489
B21,709,,L,3/19/1980,m,Q1019,5,1,E-617
i80688,688,,O,3/19/1980,m,Q1000,4,2,I-768
i80685,685,,O,3/19/1980,m,Q1000,6,2,I-767
C14,441,,I,3/19/1980,m,Q1066,4,6,G-597
B43,514,,M,3/23/1980,f,Q1029,5,6,G-512
B89,704,,J,3/23/1980,f,Q1067,5,2,G-551
B77,K1,,F,3/27/1980,m,Q1056,4,12,G-540
C23,9K,,J,3/30/1980,m,Q1067,4,8,G-605
C09,741,,I,4/3/1980,m,Q1083,4,1,G-592
A90,668,,L,4/6/1980,m,Q1019,6,2,G-452
A89,294,,L,4/7/1980,m,Q1048,3,5,G-450
B40,522,,M,4/7/1980,m,Q1053,5,4,G-509
A93,259,,L,4/7/1980,m,Q1071,5,6,G-454
i80660,660,,L,4/8/1980,f,Q1046,5,2,I-766
B39,736,,M,4/8/1980,m,Q1029,6,1,G-507
B49,655,,O,4/9/1980,f,Q1000,6,2,G-518
B99,9V,,O,4/10/1980,f,Q1000,4,8,G-562
B61,747,,I,4/11/1980,m,Q1012,6,1,G-528
B64,348,,I,4/14/1980,f,Q1083,4,6,E-622
C17,CS,,I,4/14/1980,f,Q1083,3,17,G-600
C04,756,,J,4/20/1980,f,Q1033,5,1,G-587
B67,503,,F,4/24/1980,m,Q1053,4,6,G-533
C07,646,,M,4/27/1980,f,Q1056,5,3,G-590
B91,562,,J,4/27/1980,m,Q1067,6,4,G-554
B66,497,,I,4/27/1980,f,Q1012,5,6,G-532
B65,454,,I,4/27/1980,f,Q1012,5,5,G-531
B53,306,,M,5/3/1980,m,Q1029,4,6,G-523
C02,782,,J,5/7/1980,m,Q1067,5,1,G-585
C12,FH,,II,5/12/1980,f,Q1083,4,10,E-647
C05,M7,,O,5/26/1980,m,Q1000,4,8,G-588
C24,616,,J,9/1/1980,f,Q1033,4,3,G-606
D44,416,,J,12/29/1980,m,Q1033,5,6,G-727
D20,411,,F,12/29/1980,f,Q1056,5,6,G-704
D39,420,,J,12/29/1980,m,Q1033,3,7,G-721
C53,678,,I,12/31/1980,m,Q1083,5,1,G-635
C26,577,,F,1/1/1981,f,Q1050,5,3,E-650
D37,V7,,L,1/1/1981,m,Q1019,5,8,G-720
D40,555,,J,1/1/1981,f,Q1033,5,5,G-723
C70,494,,J,1/1/1981,m,Q1033,5,5,G-648
D38,676,,I,1/5/1981,m,Q1066,5,2,E-672
C49,686,,J,1/7/1981,m,Q1067,6,1,G-630
D21,700,,F,1/8/1981,f,Q1056,6,2,G-705
C40,692,,F,1/10/1981,f,Q1053,6,3,G-621
C48,320,,J,1/11/1981,f,Q1033,3,7,G-629
D11,803,,I,1/13/1981,m,Q1083,5,1,E-668
C39,408,,F,1/13/1981,f,Q1056,5,6,G-619
C97,WE,,I,1/13/1981,f,Q1066,4,13,G-672
C41,573,,F,1/14/1981,m,Q1053,5,3,G-622
i81558,558,,I,1/15/1981,f,Q1083,4,5,I-792
C90,809,,J,1/20/1981,f,Q1033,4,1,G-666
C67,327,,J,1/20/1981,m,Q1067,4,9,G-644
i81A6,A6,,J,1/21/1981,m,Q1033,3,13,I-803
C61,604,,I,1/22/1981,m,Q1066,6,4,E-657
C91,458,,J,1/22/1981,f,Q1067,6,7,G-667
C65,546,,O,1/22/1981,m,Q1000,4,5,G-642
D33,603,,J,1/22/1981,f,Q1067,6,3,G-718
C56,470,,I,1/23/1981,m,Q1083,4,6,E-654
C54,501,,I,1/24/1981,m,Q1083,4,5,G-636
C44,688,,O,1/24/1981,f,Q1000,4,3,G-625
D10,745,,I,1/25/1981,m,Q1066,7,1,E-667
C96,571,,M,1/25/1981,m,Q1029,4,5,E-663
C95,685,,O,1/25/1981,f,Q1000,6,3,G-671
C87,FB,,F,1/26/1981,f,Q1050,3,11,E-662
D17,405,,L,1/26/1981,m,Q1071,6,5,G-700
D53,233,,I,1/26/1981,m,Q1083,4,9,G-736
C72,551,,J,1/26/1981,f,Q1033,4,3,G-650
C35,510,,F,1/26/1981,m,Q1050,4,7,G-616
C46,507,,O,1/26/1981,m,Q1000,5,4,G-627
i81840,840,,F,1/28/1981,f,Q1056,5,1,I-800
C88,FC,,F,1/28/1981,m,Q1053,4,13,G-663
C59,498,,I,1/29/1981,m,Q1066,5,6,E-655
C71,553,,J,1/29/1981,m,Q1033,4,5,G-649
C62,587,,I,1/29/1981,f,Q1066,6,3,G-640
D16,842,626,L,2/1/1981,f,Q1019,5,1,E-669
C79,713,,L,2/1/1981,m,Q1019,5,2,G-655
D60,656,,M,2/1/1981,f,Q1053,5,3,G-743
D24,763,,J,2/1/1981,f,Q1033,5,2,G-708
C94,729,,O,2/2/1981,m,Q1000,5,2,G-670
D22,820,,J,2/3/1981,m,Q1033,4,1,G-706
D54,827,,J,2/3/1981,f,Q1033,5,1,G-737
D61,P8,,M,2/3/1981,m,Q1053,4,11,G-744
C85,723,,F,2/3/1981,m,Q1021,5,2,G-661
C63,777,,II,2/4/1981,f,Q1012,6,2,E-658
C99,674,,I,2/4/1981,m,Q1066,6,2,E-665
D49,474,,L,2/4/1981,f,Q1071,5,7,G-732
C73,Z4,,J,2/4/1981,m,Q1067,5,7,G-651
D36,613,,O,2/4/1981,f,Q1000,4,3,G-719
D56,563,,J,2/5/1981,m,Q1067,6,4,G-739
C25,693,,F,2/5/1981,m,Q1056,6,2,G-607
C33,287,,F,2/5/1981,m,Q1021,4,8,G-614
D58,262,,I,2/6/1981,m,Q1012,5,8,G-740
D26,500,,I,2/7/1981,m,Q1066,4,5,G-710
D05,234,,I,2/7/1981,f,Q1066,4,7,G-691
C51,759,,J,2/7/1981,m,Q1033,6,2,G-633
D47,617,,J,2/7/1981,f,Q1033,5,4,G-730
D59,526,,I,2/7/1981,f,Q1066,6,5,G-741
i81486,486,,J,2/7/1981,f,Q1067,4,6,I-788
C84,258,,L,2/8/1981,m,Q1046,4,8,E-661
D68,844,708,L,2/8/1981,m,Q1071,6,1,E-676
C60,851,,I,2/8/1981,m,Q1066,6,1,E-656
D32,8K,,J,2/8/1981,m,Q1067,5,10,G-717
D42,554,,J,2/8/1981,m,Q1033,5,5,G-725
D43,375,,J,2/8/1981,f,Q1033,4,9,G-726
C45,308,,O,2/9/1981,m,Q1000,5,7,G-626
C64,701,,O,2/9/1981,f,Q1000,5,3,G-641
D30,7H,,J,2/9/1981,f,Q1033,3,10,G-715
C81,731,,L,2/9/1981,m,Q1071,5,1,G-658
C74,624,,J,2/10/1981,f,Q1067,7,4,G-652
C34,649,,F,2/10/1981,f,Q1056,6,2,G-615
D51,317,,I,2/10/1981,f,Q1066,5,8,G-735
D01,518,,M,2/10/1981,m,Q1029,5,5,G-688
i81482,482,,L,2/11/1981,f,Q1048,4,5,I-786
i81812,812,,F,2/11/1981,f,Q1056,6,1,I-799
i81615,615,,J,2/12/1981,m,Q1033,5,4,I-793
D55,798,,I,2/12/1981,m,Q1083,5,1,G-738
D08,584,,I,2/12/1981,m,Q1066,6,4,G-693
D34,643,831,M,2/13/1981,f,Q1053,6,3,E-670
C47,612,,O,2/13/1981,f,Q1000,4,4,G-628
D09,808,,I,2/14/1981,f,Q1066,5,1,G-694
i81483,483,,L,2/15/1981,m,Q1046,5,5,I-787
C38,7L,594,F,2/16/1981,f,Q1053,5,8,E-652
C28,576,,F,2/16/1981,m,Q1050,4,3,G-609
C82,671,,L,2/16/1981,m,Q1071,7,3,G-659
C93,681,,J,2/16/1981,f,Q1033,5,3,G-669
C29,697,,F,2/16/1981,m,Q1056,5,2,G-610
D31,814,,J,2/16/1981,f,Q1033,4,1,G-716
i81283,283,,L,2/16/1981,m,Q1019,4,7,I-781
D45,238,,J,2/16/1981,f,Q1033,4,7,G-728
C77,846,,L,2/17/1981,m,Q1019,6,1,E-659
C58,802,,I,2/17/1981,f,Q1012,6,1,G-638
D15,294,,L,2/18/1981,f,Q1048,3,6,G-699
i81762,762,,J,2/18/1981,m,Q1033,6,2,I-796
i81259,259,,L,2/19/1981,m,Q1071,5,7,I-779
C98,530,,I,2/21/1981,m,Q1066,4,5,E-664
C80,606,,L,2/21/1981,f,Q1019,6,4,G-657
D28,704,,J,2/21/1981,m,Q1067,5,3,G-712
i81280,280,,L,2/22/1981,m,Q1019,6,6,I-780
D12,572,,L,2/22/1981,f,Q1071,6,4,G-696
D27,682,,J,2/22/1981,m,Q1067,6,2,G-711
C89,XJ,,J,2/24/1981,m,Q1033,3,12,G-664
i81471,471,,F,2/24/1981,f,Q1053,5,5,I-784
D13,432,,L,2/25/1981,m,Q1019,5,6,G-697
C52,829,,I,2/26/1981,m,Q1012,6,1,G-634
D06,293,,M,2/26/1981,m,Q1029,4,8,G-692
D65,OT,,M,2/26/1981,m,Q1053,4,13,G-748
D29,601,,J,2/27/1981,f,Q1033,4,4,G-713
D18,404,,L,2/27/1981,m,Q1048,3,4,G-701
C76,431,,L,2/28/1981,m,Q1019,5,7,G-654
D48,503,,F,3/1/1981,f,Q1053,4,7,G-731
D41,644,,J,3/1/1981,m,Q1033,5,2,G-724
i81773,773,,O,3/2/1981,m,Q1000,5,1,I-797
C92,625,,J,3/2/1981,m,Q1067,5,3,G-668
D23,WF,,J,3/3/1981,f,Q1033,3,13,G-707
C68,679,,F,3/3/1981,m,Q1056,4,3,G-645
C37,K1,,F,3/3/1981,m,Q1056,4,13,G-618
C75,670,,L,3/4/1981,f,Q1019,6,3,G-653
C66,508,,O,3/4/1981,m,Q1000,5,6,G-643
i81497,497,,I,3/4/1981,m,Q1012,5,7,I-789
i81514,514,,M,3/4/1981,m,Q1029,5,7,I-790
C57,633,,I,3/5/1981,f,Q1012,6,2,G-637
D66,796,,M,3/5/1981,f,Q1029,5,1,G-749
C43,291,,O,3/11/1981,m,Q1000,5,7,G-624
i81847,847,,L,3/12/1981,m,Q1019,5,1,I-801
C78,710,,L,3/14/1981,m,Q1019,6,2,E-660
D19,660,,L,3/14/1981,m,Q1046,5,3,G-702
C36,861,,F,3/15/1981,m,Q1056,6,1,G-617
C30,838,594,F,3/17/1981,f,Q1056,4,1,E-651
i81738,738,,I,3/20/1981,m,Q1066,6,2,I-795
D72,793,,M,3/20/1981,f,Q1029,5,1,G-751
i81454,454,,I,3/21/1981,f,Q1012,5,6,I-783
D35,YL,,M,3/23/1981,m,Q1056,4,12,E-671
D52,869,,I,3/27/1981,m,Q1083,5,1,E-673
i81517,517,,M,3/27/1981,m,Q1029,4,7,I-791
C27,874,,F,3/30/1981,m,Q1050,5,1,G-608
C69,757,,J,3/30/1981,m,Q1033,6,2,G-646
C83,668,,L,3/31/1981,m,Q1019,6,3,G-660
i81476,476,,F,4/7/1981,f,Q1056,5,7,I-785
C31,724,,F,4/7/1981,m,Q1056,6,2,G-612
C86,854,,F,4/13/1981,m,Q1056,6,1,G-662
i819H,9H,,J,4/15/1981,f,Q1033,4,10,I-802
D02,WX,,M,4/15/1981,m,Q1056,3,13,G-689
C42,655,,O,4/15/1981,m,Q1000,6,3,G-623
D46,565,,J,4/19/1981,m,Q1033,4,4,G-729
i81810,810,,J,4/20/1981,f,Q1067,7,1,I-798
D14,480,,L,4/23/1981,m,Q1019,5,6,G-698
D07,441,,II,4/24/1981,f,Q1066,4,7,E-666
i81306,306,,M,4/26/1981,f,Q1029,4,7,I-782
i81646,646,,M,4/26/1981,m,Q1056,5,4,I-794
D03,585,,I,4/26/1981,m,Q1066,5,3,G-690
D67,832,,M,4/28/1981,m,Q1029,6,1,E-675
C50,562,,J,4/30/1981,m,Q1067,6,5,G-632
D57,740,,M,5/3/1981,f,Q1029,5,2,E-674
D25,348,,I,5/5/1981,m,Q1083,4,7,G-709
D50,747,,I,5/10/1981,f,Q1012,6,2,G-734
C32,N2,,F,5/10/1981,m,Q1056,4,10,G-613
D64,736,,M,5/11/1981,m,Q1029,6,2,G-747
C55,FH,,I,5/15/1981,m,Q1083,4,11,E-653
D70,751,,M,5/23/1981,f,Q1053,6,1,E-678
D71,446,,II,6/4/1981,m,Q1083,4,6,E-679
D69,699,,F,6/13/1981,f,Q1021,5,2,E-677
D63,9V,,O,7/3/1981,m,Q1000,4,9,G-746
F01,964,,L,1/1/1982,m,Q1046,5,1,G-898
F14,950,,I,1/2/1982,f,Q1066,5,1,G-909
D94,673,,I,1/3/1982,f,Q1066,4,3,G-769
i82746,746,,I,1/6/1982,u,Q1066,5,2,I-814
i82NU,NU,,I,1/8/1982,u,Q1083,3,11,I-828
E80,734,,M,1/9/1982,f,Q1029,6,2,E-699
E30,616,,J,1/10/1982,f,Q1033,4,4,G-819
E38,782,,J,1/11/1982,f,Q1067,5,2,G-827
D87,528,,I,1/13/1982,f,Q1066,5,4,G-763
E49,420,,J,1/13/1982,f,Q1033,3,8,G-839
F20,692,,F,1/13/1982,f,Q1053,6,4,G-915
i82783,783,,J,1/14/1982,m,Q1067,5,2,I-815
E39,615,,J,1/14/1982,f,Q1033,5,5,G-828
D89,233,,I,1/17/1982,f,Q1083,4,10,G-765
D85,941,,I,1/17/1982,f,Q1012,6,1,G-761
E86,733,,M,1/17/1982,m,Q1094,3,2,G-870
i82790,790,,M,1/18/1982,f,Q1053,5,2,I-816
i82N2,N2,,F,1/19/1982,f,Q1056,4,11,I-827
F33,741,,I,1/21/1982,f,Q1083,4,2,G-924
E27,9K,,J,1/21/1982,m,Q1067,4,9,G-815
D98,953,,I,1/23/1982,f,Q1083,5,1,E-687
i82678,678,,I,1/23/1982,f,Q1083,5,2,I-810
E55,501,,I,1/25/1982,f,Q1083,4,6,E-693
F35,571,,M,1/25/1982,m,Q1029,4,6,G-926
E75,P8,,M,1/25/1982,f,Q1053,4,12,G-861
E37,327,,J,1/25/1982,f,Q1067,4,10,G-826
D78,500,,I,1/26/1982,m,Q1066,4,6,E-681
E24,Z1,,J,1/26/1982,m,Q1033,4,10,G-812
D97,777,,II,1/28/1982,f,Q1012,6,3,E-686
E56,773,,O,1/28/1982,f,Q1000,5,2,G-845
E99,431,,L,1/29/1982,m,Q1019,5,8,E-707
E40,756,,J,1/29/1982,m,Q1033,5,2,G-830
E02,443,,I,1/29/1982,m,Q1066,5,7,G-791
E29,7H,,J,1/30/1982,f,Q1033,3,11,G-817
E60,613,,O,1/30/1982,f,Q1000,4,4,G-850
F27,FB,,F,1/31/1982,m,Q1050,3,12,E-715
F46,M7,,O,1/31/1982,m,Q1000,4,9,E-719
E66,725,,F,1/31/1982,f,Q1053,5,1,E-696
E12,759,,J,1/31/1982,f,Q1033,6,3,G-800
F30,278,,L,2/1/1982,f,Q1019,5,9,G-922
E20,763,,J,2/1/1982,m,Q1033,5,3,G-808
E06,476,,F,2/1/1982,f,Q1056,5,8,G-793
E01,526,,I,2/1/1982,m,Q1066,6,6,G-790
D81,798,,I,2/2/1982,f,Q1083,5,2,G-759
E10,700,,F,2/2/1982,f,Q1056,6,3,G-798
E31,885,,J,2/2/1982,f,Q1033,4,1,G-820
F42,850,,M,2/3/1982,f,Q1029,5,1,G-932
D80,587,,I,2/3/1982,f,Q1066,6,4,G-758
E87,870,,O,2/3/1982,m,Q1000,6,1,G-871
E62,573,,F,2/3/1982,m,Q1053,5,4,G-851
i82855,855,,O,2/3/1982,f,Q1000,5,1,I-820
E08,789,,F,2/3/1982,m,Q1056,5,2,G-795
D83,971,,I,2/4/1982,f,Q1012,6,1,E-683
i82A6,A6,,J,2/4/1982,f,Q1033,3,14,I-825
E50,603,,J,2/4/1982,f,Q1067,6,4,G-841
E95,842,,L,2/6/1982,f,Q1019,5,2,G-877
F24,930,,F,2/7/1982,m,Q1050,5,1,G-918
F26,510,,F,2/8/1982,m,Q1050,4,8,E-714
E97,965,708,L,2/8/1982,m,Q1046,6,1,E-705
i82813,813,,J,2/8/1982,m,Q1033,6,1,I-817
E46,555,,J,2/8/1982,m,Q1033,5,6,G-836
F16,458,,J,2/8/1982,f,Q1067,6,8,G-910
E47#,551,,J,2/8/1982,m,Q1033,4,4,G-837
F09,955,,L,2/9/1982,f,Q1019,7,1,G-904
i82877,877,,F,2/9/1982,m,Q1021,5,1,I-822
E52,8K,,J,2/9/1982,f,Q1067,5,11,G-843
D92,262,,I,2/10/1982,f,Q1012,5,9,E-685
D91,745,,I,2/10/1982,m,Q1066,7,2,E-684
E23,809,,J,2/10/1982,m,Q1033,4,2,G-811
E84,859,,M,2/10/1982,m,Q1053,6,1,G-868
F43,601,,J,2/10/1982,f,Q1033,4,5,G-933
E00,909,642,I,2/12/1982,m,Q1066,6,1,E-688
E54,234,,I,2/12/1982,m,Q1066,4,8,E-692
E03,897,,I,2/12/1982,m,Q1083,5,1,G-792
E98,846,,L,2/15/1982,f,Q1019,6,2,E-706
E57,308,,O,2/15/1982,f,Q1000,5,8,G-846
D73,585,,I,2/15/1982,m,Q1066,5,4,G-752
E48,936,,J,2/15/1982,f,Q1033,6,1,G-838
D90,676,,I,2/15/1982,f,Q1066,5,3,G-767
E64,576,,F,2/15/1982,m,Q1050,4,4,G-853
E77,486,,J,2/15/1982,f,Q1067,4,7,G-863
E33,827,,J,2/16/1982,m,Q1033,5,2,G-822
E22,784,,J,2/16/1982,m,Q1067,5,2,G-810
E25,563,,J,2/16/1982,m,Q1067,6,5,G-813
E41,617,,J,2/16/1982,m,Q1033,5,5,G-831
E15,810,,J,2/16/1982,f,Q1067,7,2,G-803
F32,498,,I,2/17/1982,m,Q1066,5,7,E-716
E21,682,,J,2/17/1982,m,Q1067,6,3,G-809
E51,760,,J,2/17/1982,f,Q1033,5,2,G-842
E94,713,,L,2/18/1982,m,Q1019,5,3,E-704
E28,704,,J,2/18/1982,f,Q1067,5,4,G-816
F08,432,626,L,2/19/1982,m,Q1019,5,7,E-710
E96,670,,L,2/19/1982,f,Q1019,6,4,G-878
E36,820,,J,2/20/1982,m,Q1033,4,2,G-825
D82,470,,II,2/21/1982,f,Q1083,4,7,E-682
E89,WF,,J,2/21/1982,m,Q1033,3,14,G-873
D93,454,,I,2/21/1982,f,Q1012,5,7,G-768
E78,812,,F,2/21/1982,f,Q1056,6,2,G-864
D79,530,,I,2/21/1982,f,Q1066,4,6,G-756
E58,701,,O,2/21/1982,f,Q1000,5,4,G-847
E70,291,,O,2/21/1982,f,Q1000,5,8,G-856
E16,293,,M,2/21/1982,f,Q1029,4,9,G-804
F22,937,,M,2/22/1982,f,Q1029,6,1,E-712
E92,258,708,L,2/22/1982,m,Q1046,4,9,E-702
E65,929,,F,2/22/1982,f,Q1053,6,1,E-695
E09,681,,J,2/22/1982,m,Q1033,5,4,G-796
F19,931,,F,2/22/1982,f,Q1053,6,1,G-913
E59,729,,O,2/22/1982,m,Q1000,5,3,G-848
F23,693,,F,2/22/1982,f,Q1056,6,3,G-917
E88,633,,I,2/22/1982,m,Q1012,6,3,G-872
F04,606,,L,2/22/1982,m,Q1019,6,5,G-901
D77,913,,I,2/22/1982,f,Q1066,5,1,G-755
E26,554,,J,2/22/1982,f,Q1033,5,6,G-814
E18,857,,M,2/22/1982,f,Q1029,6,1,G-805
F03,731,,L,2/23/1982,m,Q1071,5,2,G-900
D95,840,,F,2/23/1982,m,Q1056,5,2,G-770
E53,624,,J,2/23/1982,m,Q1067,7,5,G-844
E68,YL,,M,2/24/1982,m,Q1056,4,13,E-697
F07,483,,L,2/24/1982,f,Q1046,5,6,G-903
E32,417,,J,2/24/1982,m,Q1033,4,7,G-821
E63,679,,F,2/24/1982,m,Q1056,4,4,G-852
D86,802,,I,2/24/1982,f,Q1012,6,2,G-762
i82918,918,,J,2/25/1982,m,Q1033,6,1,I-823
i82287,287,,F,2/25/1982,f,Q1021,4,9,I-805
E90,883,,J,2/25/1982,f,Q1033,5,1,G-875
D75,803,,I,2/26/1982,f,Q1083,5,2,E-680
i82674,674,,I,2/26/1982,m,Q1066,6,3,I-809
E73,508,,O,2/27/1982,m,Q1000,5,7,G-859
E71,507,,O,2/27/1982,f,Q1000,5,5,G-857
F41,908,,O,2/28/1982,f,Q1000,6,1,G-931
F34,644,,J,2/28/1982,m,Q1033,5,3,G-925
i82320,320,,J,2/28/1982,f,Q1033,3,8,I-806
E61,503,594,F,3/1/1982,m,Q1053,4,8,E-694
F37,238,,J,3/1/1982,f,Q1033,4,8,G-927
F29,709,,L,3/1/1982,f,Q1019,5,2,G-920
i82863,863,,L,3/1/1982,f,Q1048,4,1,I-821
i82814,814,,J,3/1/1982,f,Q1033,4,2,I-818
E42#,494,,J,3/1/1982,m,Q1033,5,6,G-832
E69,OT,,M,3/2/1982,m,Q1053,4,14,E-698
D84,808,,I,3/2/1982,m,Q1066,5,2,G-760
F13,LA,,J,3/2/1982,f,Q1067,4,12,G-908
F31,Z4,,J,3/2/1982,m,Q1067,5,8,G-923
F17,838,,F,3/3/1982,m,Q1056,4,2,G-911
E93,668,658,L,3/5/1982,m,Q1019,6,4,E-703
E82,WX,,M,3/5/1982,f,Q1056,3,14,G-867
D76,441,,I,3/5/1982,f,Q1066,4,8,G-754
E81,517,,M,3/6/1982,f,Q1029,4,8,E-700
E44,625,,J,3/6/1982,m,Q1067,5,4,G-834
E76,408,,F,3/6/1982,f,Q1056,5,7,G-862
F10,584,,I,3/6/1982,m,Q1066,6,5,G-906
F05,480,,L,3/7/1982,m,Q1019,5,7,E-709
F44,940,,J,3/7/1982,f,Q1067,8,1,G-934
E79,518,,M,3/7/1982,m,Q1029,5,6,G-865
E05,896,,I,3/8/1982,m,Q1083,5,1,E-690
E14,416,,J,3/8/1982,f,Q1033,5,7,G-802
F02,847,,L,3/8/1982,f,Q1019,5,2,G-899
i82697,697,,F,3/9/1982,m,Q1056,5,3,I-811
E07,649,,F,3/9/1982,m,Q1056,6,3,G-794
F00,710,689,L,3/11/1982,m,Q1019,6,3,E-708
E04,348,,I,3/11/1982,f,Q1083,4,8,E-689
D74,898,,I,3/11/1982,f,Q1012,6,1,G-753
F21,939,,M,3/12/1982,f,Q1029,5,1,G-916
E43,757,,J,3/12/1982,f,Q1033,6,3,G-833
F40,375,,J,3/12/1982,f,Q1033,4,10,G-930
E11,686,,J,3/14/1982,m,Q1067,6,2,G-799
E17,656,,M,3/15/1982,m,Q1053,5,4,E-691
E72,612,,O,3/15/1982,m,Q1000,4,5,G-858
E85,646,,M,3/15/1982,f,Q1056,5,5,G-869
E91,A57,,L,3/17/1982,m,Q1019,7,1,G-876
E83,643,,M,3/21/1982,m,Q1053,6,4,E-701
i82845,845,,L,3/21/1982,m,Q1071,7,1,I-819
F18,577,,F,3/21/1982,m,Q1050,5,4,G-912
i82514,514,,M,3/21/1982,f,Q1029,5,8,I-808
F12,796,,M,3/22/1982,m,Q1029,5,2,G-907
E67,7L,,F,3/22/1982,f,Q1053,5,9,G-854
F06,966,,L,3/23/1982,f,Q1071,6,1,G-902
i82961,961,,L,3/23/1982,m,Q1071,7,1,I-824
i82WE,WE,,I,3/24/1982,m,Q1066,4,14,I-829
F38,572,,L,3/26/1982,f,Q1071,6,5,E-718
F25,985,,F,3/27/1982,f,Q1050,4,1,E-713
E13,562,,J,3/28/1982,m,Q1067,6,6,G-801
i82FH,FH,,I,3/29/1982,m,Q1083,4,12,I-826
F39,671,,L,3/30/1982,m,Q1071,7,4,G-928
D88,747,,I,3/31/1982,f,Q1012,6,3,G-764
E35,XJ,,J,4/2/1982,m,Q1033,3,13,G-824
E34,565,,J,4/4/1982,m,Q1033,4,5,G-823
D99,317,,I,4/6/1982,f,Q1066,5,9,G-772
E45,946,,J,4/7/1982,f,Q1067,5,1,G-835
i82736,736,,M,4/7/1982,m,Q1029,6,3,I-813
F28,723,,F,4/9/1982,f,Q1021,5,3,G-919
D96,K1,,F,4/11/1982,f,Q1056,4,14,G-771
F36,522,,M,4/26/1982,m,Q1053,5,5,E-717
i82724,724,,F,4/30/1982,m,Q1056,6,3,I-812
E74,546,,O,5/10/1982,f,Q1000,4,6,G-860
F45,553,,J,5/23/1982,f,Q1033,4,6,G-935
i82411,411,,F,6/11/1982,m,Q1056,5,7,I-807
i83A25,A25,,I,12/13/1982,f,Q1066,7,1,I-856
i83861,861,,F,12/20/1982,m,Q1056,6,2,I-844
i83676,676,,I,12/21/1982,m,Q1066,5,4,I-837
G27,604,647,I,12/25/1982,m,Q1066,6,5,E-740
G64,844,,L,12/25/1982,m,Q1071,6,2,H-066
G28,854,,F,12/27/1982,f,Q1056,6,2,H-030
i83846,846,,L,12/29/1982,f,Q1019,6,3,I-843
G80,678,,I,1/1/1983,f,Q1083,5,3,E-746
F57,643,,M,1/1/1983,m,Q1053,6,5,G-942
H05,870,,O,1/1/1983,f,Q1000,6,2,H-129
F52,740,,M,1/2/1983,m,Q1029,5,3,E-722
F70,FC,,F,1/2/1983,m,Q1053,4,14,G-955
G59,958,,L,1/2/1983,m,Q1071,7,1,H-061
G09,952,647,I,1/4/1983,m,Q1066,6,1,E-731
F79,874,,F,1/5/1983,m,Q1050,5,2,G-962
G08,950,,I,1/8/1983,m,Q1066,5,2,H-018
i83474,474,,L,1/8/1983,f,Q1071,5,8,I-833
G63,842,,L,1/9/1983,f,Q1019,5,3,H-065
G69,9V,,O,1/13/1983,f,Q1000,4,10,H-070
F83,699,,F,1/13/1983,f,Q1021,5,3,G-967
G17,501,,I,1/14/1983,f,Q1083,4,7,E-735
