AnimalId,DoB,Gender,BGrp,DadId,MomId,FounderId,UniCode
"i66S002",3/15/1966 0:00:00,"m","C",,"S002",,"I-377"
"i66ND",3/16/1966 0:00:00,"m","C",,"ND",,"I-366"
"V8",3/18/1966 0:00:00,"m","A",,"UW",,"K-679"
"i66HL",3/18/1966 0:00:00,"f","H",,"HL",,"I-354"
"U2",3/18/1966 0:00:00,"m","C",,"IK",,"K-582"
"M4",3/18/1966 0:00:00,"f","E",,"118",,"K-092"
"i66TY",3/19/1966 0:00:00,"m","C",,"TY",,"I-382"
"i66R004",3/19/1966 0:00:00,"f","H",,"R004",,"I-373"
"i66NI",3/21/1966 0:00:00,"f","C",,"NI",,"I-368"
"i66DA",3/21/1966 0:00:00,"f","C",,"DA",,"I-350"
"T7",3/22/1966 0:00:00,"m","E",,"LU",,"K-536"
"i66BX",3/24/1966 0:00:00,"m","C",,"BX",,"I-346"
"V5",3/24/1966 0:00:00,"f","C",,"LL",,"K-658"
"W7",3/25/1966 0:00:00,"m","C",,"TX",,"K-699"
"X4",3/25/1966 0:00:00,"m","E",,"LW",,"K-761"
"L1",3/25/1966 0:00:00,"m","J",,"JP",,"J-999"
"i66TT",3/25/1966 0:00:00,"f","H",,"TT",,"I-381"
"S3",3/31/1966 0:00:00,"m","A",,"TU",,"K-425"
"R7",3/31/1966 0:00:00,"f","I",,"TO",,"K-360"
"N2",4/1/1966 0:00:00,"f","F",,"KD",,"K-130"
"M6",4/1/1966 0:00:00,"m","A",,"AS",,"K-093"
"i66CM",4/3/1966 0:00:00,"m","H",,"CM",,"I-347"
"V4",4/5/1966 0:00:00,"m","E",,"TA",,"K-649"
"M7",4/6/1966 0:00:00,"f","F",,"DL",,"K-094"
"i66CQ",4/6/1966 0:00:00,"f","H",,"CQ",,"I-348"
"i66ZA",4/7/1966 0:00:00,"f","A",,"ZA",,"I-386"
"i66IR",4/7/1966 0:00:00,"m","E",,"IR",,"I-357"
"W3",4/7/1966 0:00:00,"m","A",,"OP",,"K-695"
"S9",4/7/1966 0:00:00,"f","C",,"NH",,"K-468"
"X5",4/7/1966 0:00:00,"f","A",,"LI",,"K-769"
"S7",4/11/1966 0:00:00,"f","A",,"JM",,"K-457"
"5U",4/13/1966 0:00:00,"m","C",,"NM",,"F-904"
"i66NX",4/13/1966 0:00:00,"f","H",,"NX",,"I-369"
"i66NF",4/13/1966 0:00:00,"m","C",,"NF",,"I-367"
"i66HE",4/14/1966 0:00:00,"m","H",,"HE",,"I-353"
"S8",4/15/1966 0:00:00,"m","A",,"JE",,"K-460"
"S4",4/15/1966 0:00:00,"m","C",,"UB",,"K-434"
"P5",4/19/1966 0:00:00,"f","A",,"UZ",,"K-324"
"U5",4/19/1966 0:00:00,"f","A",,"DT",,"K-585"
"T4",4/21/1966 0:00:00,"f","A",,"JR",,"K-510"
"i66IP",4/22/1966 0:00:00,"f","H",,"IP",,"I-356"
"1J",4/23/1966 0:00:00,"m","I",,"AA",,"F-411"
"W8",4/26/1966 0:00:00,"f","C",,"UL",,"K-700"
"V2",4/27/1966 0:00:00,"m","F",,"JI",,"K-634"
"i66EL",4/29/1966 0:00:00,"m","C",,"EL",,"I-351"
"W1",5/10/1966 0:00:00,"m","E",,"IS",,"K-693"
"i66OQ",5/13/1966 0:00:00,"f","A",,"OQ",,"I-370"
"i67HS",1/1/1967 0:00:00,"u","U",,"HS",,"I-392"
"4D",1/25/1967 0:00:00,"f","A",,"LV",,"F-771"
"i67AU",2/1/1967 0:00:00,"f","C",,"AU",,"I-389"
"1N",2/2/1967 0:00:00,"f","C",,"KS",,"F-415"
"i67TR",2/3/1967 0:00:00,"m","C",,"TR",,"I-400"
"4E",2/4/1967 0:00:00,"m","A",,"LH",,"F-772"
"2V",2/6/1967 0:00:00,"f","C",,"YD",,"F-555"
"Z2",2/6/1967 0:00:00,"m","J",,"LA",,"K-868"
"i67R",2/7/1967 0:00:00,"f","A",,"R",,"I-399"
"3V",2/9/1967 0:00:00,"m","C",,"LN",,"F-670"
"1S",2/9/1967 0:00:00,"m","C",,"IE",,"F-419"
"4G",2/9/1967 0:00:00,"m","A",,"BP",,"F-773"
"3R",2/10/1967 0:00:00,"f","I",,"IW",,"F-666"
"1V",2/10/1967 0:00:00,"m","C",,"HD",,"F-422"
"2Y",2/10/1967 0:00:00,"f","A",,"HJ",,"F-558"
"3G",2/10/1967 0:00:00,"m","E",,"UR",,"F-657"
"i67JH",2/11/1967 0:00:00,"m","F",,"JH",,"I-395"
"2R",2/13/1967 0:00:00,"f","C",,"055",,"F-551"
"4Z",2/13/1967 0:00:00,"m","C",,"KR",,"F-789"
"2T",2/14/1967 0:00:00,"f","A",,"XR",,"F-553"
"i67YN",2/14/1967 0:00:00,"f","C",,"YN",,"I-404"
"Z5",2/15/1967 0:00:00,"m","E",,"NR",,"K-898"
"Y5",2/15/1967 0:00:00,"f","C",,"NK",,"K-827"
"1Z",2/16/1967 0:00:00,"f","A",,"BY",,"F-425"
"i67IN",2/17/1967 0:00:00,"f","A",,"IN",,"I-393"
"2F",2/18/1967 0:00:00,"f","A",,"KH",,"F-540"
"2G",2/20/1967 0:00:00,"m","A",,"DZ",,"F-541"
"2E",2/21/1967 0:00:00,"m","A",,"IV",,"F-539"
"5I",2/21/1967 0:00:00,"m","C",,"XB",,"F-894"
"3D",2/21/1967 0:00:00,"m","E",,"118",,"F-654"
"i67LM",2/21/1967 0:00:00,"m","C",,"LM",,"I-396"
"4N",2/22/1967 0:00:00,"m","C",,"L",,"F-779"
"5Q",2/22/1967 0:00:00,"m","C",,"UQ",,"F-900"
"1X",2/23/1967 0:00:00,"m","C",,"TY",,"F-423"
"1M",2/23/1967 0:00:00,"m","C",,"YY",,"F-414"
"2Q",2/24/1967 0:00:00,"m","C",,"BX",,"F-550"
"Z1",2/25/1967 0:00:00,"f","J",,"XJ",,"K-864"
"i67X",2/26/1967 0:00:00,"f","A",,"X",,"I-402"
"1D",2/28/1967 0:00:00,"f","F",,"K",,"F-405"
"1K",2/28/1967 0:00:00,"f","C",,"TZ",,"F-412"
"1G",2/28/1967 0:00:00,"f","C",,"JK",,"F-408"
"Z4",3/1/1967 0:00:00,"f","J",,"XQ",,"K-888"
"1E",3/2/1967 0:00:00,"m","C",,"038",,"F-406"
"1Y",3/2/1967 0:00:00,"m","C",,"KW",,"F-424"
"1R",3/3/1967 0:00:00,"f","C",,"YO",,"F-418"
"4Q",3/3/1967 0:00:00,"f","C",,"HR",,"F-781"
"2W",3/3/1967 0:00:00,"f","C",,"IK",,"F-556"
"2Z",3/4/1967 0:00:00,"m","H",,"S017",,"F-559"
"4L",3/4/1967 0:00:00,"m","C",,"DA",,"F-778"
"2C",3/4/1967 0:00:00,"m","A",,"UI",,"F-537"
"6E",3/5/1967 0:00:00,"m","A",,"OQ",,"G-005"
"3K",3/6/1967 0:00:00,"f","A",,"DR",,"F-661"
"1U",3/6/1967 0:00:00,"m","C",,"ND",,"F-421"
"2K",3/6/1967 0:00:00,"f","A",,"XW",,"F-545"
"2A",3/7/1967 0:00:00,"m","A",,"UV",,"F-535"
"4A",3/7/1967 0:00:00,"f","C",,"DC",,"F-768"
"1F",3/7/1967 0:00:00,"m","C",,"IJ",,"F-407"
"Z6",3/7/1967 0:00:00,"f","E",,"ED",,"K-903"
"i67BN",3/7/1967 0:00:00,"m","A",,"BN",,"I-390"
"3A",3/9/1967 0:00:00,"m","C",,"YR",,"F-651"
"5B",3/9/1967 0:00:00,"m","C",,"YP",,"F-888"
"2B",3/9/1967 0:00:00,"m","A",,"UG",,"F-536"
"Z3",3/9/1967 0:00:00,"m","J",,"TN",,"K-877"
"3E",3/10/1967 0:00:00,"f","E",,"TI",,"F-655"
"5J",3/10/1967 0:00:00,"m","H",,"HT",,"F-895"
"5H",3/10/1967 0:00:00,"m","C",,"KK",,"F-893"
"5P",3/10/1967 0:00:00,"f","C",,"NM",,"F-899"
"Y8",3/10/1967 0:00:00,"f","E",,"S012",,"K-830"
"i67YB",3/10/1967 0:00:00,"m","F",,"YB",,"I-403"
"4I",3/11/1967 0:00:00,"f","C",,"AT63",,"F-775"
"1T",3/13/1967 0:00:00,"f","C",,"XM",,"F-420"
"3S",3/13/1967 0:00:00,"f","E",,"YM",,"F-667"
"4R",3/13/1967 0:00:00,"f","H",,"AH",,"F-782"
"i67CS",3/13/1967 0:00:00,"f","I",,"CS",,"I-391"
"Z7",3/13/1967 0:00:00,"f","F",,"KD",,"K-912"
"3L",3/16/1967 0:00:00,"f","A",,"XP",,"F-662"
"Y3",3/16/1967 0:00:00,"f","C",,"US",,"K-825"
"5R",3/17/1967 0:00:00,"f","A",,"AS",,"F-901"
"2D",3/17/1967 0:00:00,"f","A",,"JR",,"F-538"
"4K",3/17/1967 0:00:00,"f","C",,"CH",,"F-777"
"5E",3/17/1967 0:00:00,"f","C",,"UM",,"F-891"
"3Z",3/17/1967 0:00:00,"m","A",,"DT",,"F-672"
"Y6",3/17/1967 0:00:00,"m","E",,"AJ",,"K-828"
"2M",3/18/1967 0:00:00,"f","C",,"DJ",,"F-547"
"i67JE",3/21/1967 0:00:00,"m","A",,"JE",,"I-394"
"i67NU",3/21/1967 0:00:00,"m","I",,"NU",,"I-397"
"i67WO",3/22/1967 0:00:00,"f","F",,"WO",,"I-401"
"1P",3/23/1967 0:00:00,"f","C",,"NI",,"F-416"
"5S",3/23/1967 0:00:00,"m","E",,"LW",,"F-902"
"5C",3/23/1967 0:00:00,"f","C",,"NF",,"F-889"
"4J",3/23/1967 0:00:00,"m","C",,"EL",,"F-776"
"3Q",3/23/1967 0:00:00,"f","I",,"YI",,"F-665"
"3C",3/24/1967 0:00:00,"m","E",,"LU",,"F-653"
"Y9",3/24/1967 0:00:00,"f","J",,"JP",,"K-831"
"4S",3/25/1967 0:00:00,"f","E",,"IR",,"F-783"
"4U",3/28/1967 0:00:00,"f","A",,"YJ",,"F-785"
"Y1",3/28/1967 0:00:00,"m","E",,"YF",,"K-823"
"1L",3/31/1967 0:00:00,"m","C",,"S002",,"F-413"
"4P",3/31/1967 0:00:00,"m","C",,"S002",,"F-780"
"i67YX",3/31/1967 0:00:00,"f","C",,"YX",,"I-405"
"i67OA",3/31/1967 0:00:00,"m","C",,"OA",,"I-398"
"1C",4/1/1967 0:00:00,"m","F",,"DL",,"F-404"
"Z9",4/1/1967 0:00:00,"m","F",,"FB",,"K-920"
"5Z",4/3/1967 0:00:00,"m","A",,"JM",,"F-908"
"4H",4/3/1967 0:00:00,"f","A",,"JM",,"F-774"
"5A",4/6/1967 0:00:00,"f","C",,"K5",,"F-887"
"5V",4/6/1967 0:00:00,"m","A",,"JO",,"F-905"
"4T",4/8/1967 0:00:00,"m","A",,"XK",,"F-784"
"3J",4/9/1967 0:00:00,"f","A",,"S",,"F-660"
"4B",4/11/1967 0:00:00,"f","A",,"UH",,"F-769"
"Y4",4/11/1967 0:00:00,"f","C",,"TL",,"K-826"
"1I",4/12/1967 0:00:00,"f","F",,"JI",,"F-410"
"2J",4/20/1967 0:00:00,"f","A",,"TU",,"F-544"
"Z8",4/20/1967 0:00:00,"f","F",,"EK",,"K-915"
"3P",4/26/1967 0:00:00,"m","I",,"AA",,"F-664"
"i67ZU",4/26/1967 0:00:00,"f","C",,"ZU",,"I-406"
"X9",4/26/1967 0:00:00,"f","E",,"YS",,"K-790"
"3B",4/27/1967 0:00:00,"m","C",,"UB",,"F-652"
"6G",5/3/1967 0:00:00,"f","E",,"OE",,"G-006"
"2H",5/5/1967 0:00:00,"m","A",,"HP",,"F-542"
"Y2",5/7/1967 0:00:00,"m","C",,"UL",,"K-824"
"3I",5/8/1967 0:00:00,"m","E",,"IS",,"F-659"
"5X",5/11/1967 0:00:00,"f","C",,"TX",,"F-906"
"6A",6/6/1967 0:00:00,"f","C",,"LR",,"G-002"
"6Q",1/11/1968 0:00:00,"m","A",,"R",,"G-014"
"6K",1/13/1968 0:00:00,"f","A",,"OP",,"G-010"
"6P",1/14/1968 0:00:00,"m","A",,"LI",,"G-013"
"8G",1/20/1968 0:00:00,"m","A",,"UW",,"G-238"
"i68JE",1/21/1968 0:00:00,"f","A",,"JE",,"I-439"
"i68HS",1/26/1968 0:00:00,"u","A",,"HS",,"I-435"
"8Q",1/30/1968 0:00:00,"f","A",,"IN",,"G-246"
"i68TR",1/31/1968 0:00:00,"m","C",,"TR",,"I-460"
"i68YN",2/2/1968 0:00:00,"m","C",,"YN",,"I-470"
"9B",2/3/1968 0:00:00,"f","E",,"S013",,"G-343"
"9X",2/5/1968 0:00:00,"f","A",,"BN",,"G-359"
"i68X",2/6/1968 0:00:00,"m","A",,"X",,"I-467"
"i68GL",2/6/1968 0:00:00,"m","C",,"GL",,"I-429"
"8C",2/10/1968 0:00:00,"m","A",,"GS",,"G-236"
"8I",2/10/1968 0:00:00,"m","F",,"W",,"G-240"
"7K",2/10/1968 0:00:00,"m","A",,"XN",,"G-127"
"RIV",2/10/1968 0:00:00,"m","A",,"GI",,"K-384"
"9S",2/12/1968 0:00:00,"f","A",,"TW",,"G-355"
"8E",2/15/1968 0:00:00,"f","A",,"OG",,"G-237"
"8H",2/15/1968 0:00:00,"m","A",,"WG",,"G-239"
"6I",2/16/1968 0:00:00,"f","A",,"IV",,"G-008"
"i68055",2/16/1968 0:00:00,"m","C",,"055",,"I-408"
"i68L",2/16/1968 0:00:00,"m","C",,"L",,"I-444"
"i68HD",2/16/1968 0:00:00,"m","C",,"HD",,"I-433"
"i68NH",2/17/1968 0:00:00,"f","C",,"NH",,"I-450"
"i68OF",2/17/1968 0:00:00,"f","C",,"OF",,"I-456"
"i68LV",2/18/1968 0:00:00,"f","A",,"LV",,"I-447"
"6R",2/21/1968 0:00:00,"m","A",,"BY",,"G-015"
"i68NK",2/21/1968 0:00:00,"f","C",,"NK",,"I-452"
"6Z",2/23/1968 0:00:00,"f","A",,"FF",,"G-022"
"7C",2/23/1968 0:00:00,"f","A",,"UG",,"G-121"
"i68IK",2/24/1968 0:00:00,"m","C",,"IK",,"I-437"
"i68AT",2/24/1968 0:00:00,"u","C",,"AT",,"I-415"
"7X",2/25/1968 0:00:00,"f","E",,"118",,"G-137"
"6V",2/25/1968 0:00:00,"m","A",,"HJ",,"G-019"
"8T",2/25/1968 0:00:00,"m","F",,"YB",,"G-249"
"i68ZL",2/25/1968 0:00:00,"m","C",,"ZL",,"I-475"
"i68KS",2/29/1968 0:00:00,"m","C",,"KS",,"I-443"
"8R",3/1/1968 0:00:00,"f","I",,"TO",,"G-247"
"8L",3/1/1968 0:00:00,"f","I",,"WE",,"G-243"
"i68GH",3/1/1968 0:00:00,"f","C",,"GH",,"I-428"
"i68IE",3/1/1968 0:00:00,"f","C",,"IE",,"I-436"
"i68GU",3/1/1968 0:00:00,"f","C",,"GU",,"I-431"
"i68R005",3/1/1968 0:00:00,"m","C",,"R005",,"I-459"
"7Z",3/2/1968 0:00:00,"f","E",,"TI",,"G-139"
"8B",3/2/1968 0:00:00,"f","A",,"XW",,"G-235"
"6S",3/2/1968 0:00:00,"m","A",,"UZ",,"G-016"
"9Y",3/2/1968 0:00:00,"m","A",,"JR",,"G-360"
"i68OA",3/3/1968 0:00:00,"f","C",,"OA",,"I-455"
"7R",3/4/1968 0:00:00,"f","A",,"GY",,"G-132"
"i68GR",3/5/1968 0:00:00,"f","C",,"GR",,"I-430"
"i68ND",3/5/1968 0:00:00,"m","C",,"ND",,"I-448"
"i68OI",3/5/1968 0:00:00,"m","C",,"OI",,"I-457"
"200",3/6/1968 0:00:00,"f","A",,"GK",,"F-426"
"8Y",3/7/1968 0:00:00,"m","F",,"YL",,"G-253"
"203",3/7/1968 0:00:00,"m","A",,"UV",,"F-429"
"6T",3/8/1968 0:00:00,"m","H",,"S017",,"G-017"
"8N",3/8/1968 0:00:00,"m","I",,"WD",,"G-244"
"i68FQ",3/8/1968 0:00:00,"m","C",,"FQ",,"I-426"
"9N",3/8/1968 0:00:00,"m","A",,"XR",,"G-351"
"9R",3/9/1968 0:00:00,"m","A",,"DR",,"G-354"
"7B",3/10/1968 0:00:00,"m","A",,"KH",,"G-120"
"i68KK",3/10/1968 0:00:00,"f","C",,"KK",,"I-441"
"7G",3/11/1968 0:00:00,"f","J",,"WF",,"G-123"
"i68D9",3/11/1968 0:00:00,"f","C",,"D9",,"I-422"
"III",3/11/1968 0:00:00,"m","A",,"UH",,"J-774"
"9K",3/12/1968 0:00:00,"f","J",,"TN",,"G-349"
"8U",3/13/1968 0:00:00,"m","E",,"ZX",,"G-250"
"i68ZG",3/13/1968 0:00:00,"f","C",,"ZG",,"I-474"
"6X",3/14/1968 0:00:00,"m","A",,"UI",,"G-020"
"i68LN",3/15/1968 0:00:00,"f","C",,"LN",,"I-446"
"i68NU",3/16/1968 0:00:00,"f","I",,"NU",,"I-454"
"9U",3/16/1968 0:00:00,"m","F",,"WO",,"G-357"
"i68NM",3/17/1968 0:00:00,"f","C",,"NM",,"I-453"
"i68EL",3/17/1968 0:00:00,"f","C",,"EL",,"I-424"
"6J",3/18/1968 0:00:00,"m","A",,"YJ",,"G-009"
"i68WT",3/18/1968 0:00:00,"m","F",,"WT",,"I-465"
"i68HR",3/19/1968 0:00:00,"m","C",,"HR",,"I-434"
"i68NI",3/19/1968 0:00:00,"m","C",,"NI",,"I-451"
"8X",3/21/1968 0:00:00,"f","E",,"YM",,"G-252"
"7J",3/22/1968 0:00:00,"m","A",,"DZ",,"G-126"
"8Z",3/23/1968 0:00:00,"f","E",,"LW",,"G-254"
"i68KR",3/24/1968 0:00:00,"f","C",,"KR",,"I-442"
"i68YD",3/24/1968 0:00:00,"m","C",,"YD",,"I-469"
"i68BP",3/24/1968 0:00:00,"f","A",,"BP",,"I-418"
"i68ZT",3/29/1968 0:00:00,"m","C",,"ZT",,"I-476"
"7V",3/30/1968 0:00:00,"f","E",,"TA",,"G-136"
"i68YP",3/30/1968 0:00:00,"m","C",,"YP",,"I-471"
"7L",3/31/1968 0:00:00,"f","F",,"FC",,"G-128"
"9C",4/1/1968 0:00:00,"m","E",,"LU",,"G-344"
"7S",4/4/1968 0:00:00,"f","F",,"EK",,"G-133"
"8A",4/6/1968 0:00:00,"m","E",,"S012",,"G-234"
"i68AH",4/6/1968 0:00:00,"f","H",,"AH",,"I-414"
"9I",4/9/1968 0:00:00,"m","J",,"LA",,"G-347"
"i68UQ",4/9/1968 0:00:00,"f","C",,"UQ",,"I-464"
"i68K5",4/10/1968 0:00:00,"f","C",,"K5",,"I-440"
"i68J3",4/10/1968 0:00:00,"m","C",,"J3",,"I-438"
"i68NF",4/10/1968 0:00:00,"m","C",,"NF",,"I-449"
"i68AT63",4/10/1968 0:00:00,"f","C",,"AT63",,"I-416"
"i68YY",4/11/1968 0:00:00,"m","C",,"YY",,"I-473"
"i68LH",4/12/1968 0:00:00,"m","A",,"LH",,"I-445"
"i68H1",4/12/1968 0:00:00,"f","C",,"H1",,"I-432"
"I",4/12/1968 0:00:00,"m","A",,"TU",,"H-225"
"9H",4/12/1968 0:00:00,"f","J",,"JP",,"G-346"
"i68DC",4/13/1968 0:00:00,"m","C",,"DC",,"I-423"
"8V",4/14/1968 0:00:00,"f","E",,"IR",,"G-251"
"8J",4/19/1968 0:00:00,"f","F",,"JI",,"G-241"
"i68CH",4/19/1968 0:00:00,"m","C",,"CH",,"I-420"
"i68WZ",4/20/1968 0:00:00,"m","C",,"WZ",,"I-466"
"8S",4/21/1968 0:00:00,"m","E",,"IS",,"G-248"
"9P",4/22/1968 0:00:00,"m","H",,"HT",,"G-352"
"i68XC",4/22/1968 0:00:00,"f","I",,"XC",,"I-468"
"i68TY",4/24/1968 0:00:00,"m","C",,"TY",,"I-462"
"i68UB",4/28/1968 0:00:00,"m","C",,"UB",,"I-463"
"9Z",5/1/1968 0:00:00,"m","A",,"DT",,"G-361"
"i68YX",5/10/1968 0:00:00,"m","C",,"YX",,"I-472"
"i68BX",5/16/1968 0:00:00,"m","C",,"BX",,"I-419"
"8K",5/17/1968 0:00:00,"f","J",,"XQ",,"G-242"
"7U",5/22/1968 0:00:00,"m","E",,"ED",,"G-135"
"i68GE",5/24/1968 0:00:00,"f","C",,"GE",,"I-427"
"i68TX",5/25/1968 0:00:00,"f","C",,"TX",,"I-461"
"201",5/31/1968 0:00:00,"m","J",,"XJ",,"F-427"
"i68OK",6/1/1968 0:00:00,"f","C",,"OK",,"I-458"
"9L",6/2/1968 0:00:00,"m","I",,"AA",,"G-350"
"9V",6/3/1968 0:00:00,"f","F",,"DL",,"G-358"
"II",6/17/1968 0:00:00,"f","A",,"AS",,"J-769"
"i68CS",6/23/1968 0:00:00,"u","I",,"CS",,"I-421"
"214",1/14/1969 0:00:00,"m","A",,"JM",,"F-440"
"i69OC",1/23/1969 0:00:00,"u","A",,"OC",,"I-499"
"278",1/28/1969 0:00:00,"f","A",,"TV",,"F-511"
"i69YN",1/31/1969 0:00:00,"u","C",,"YN",,"I-509"
"i69X",2/4/1969 0:00:00,"f","A",,"X",,"I-505"
"217",2/5/1969 0:00:00,"m","A",,"OQ",,"F-443"
"258",2/5/1969 0:00:00,"f","A",,"S",,"F-488"
"i69XP",2/10/1969 0:00:00,"m","A",,"XP",,"I-506"
"256",2/11/1969 0:00:00,"f","A",,"IV",,"F-486"
"390",2/12/1969 0:00:00,"f","A",,"R",,"F-641"
"246",2/13/1969 0:00:00,"m","A",,"JE",,"F-474"
"211",2/15/1969 0:00:00,"f","A",,"ZQ",,"F-437"
"268",2/16/1969 0:00:00,"f","A",,"BY",,"F-499"
"210",2/17/1969 0:00:00,"f","A",,"XK",,"F-436"
"273",2/17/1969 0:00:00,"f","A",,"JR",,"F-506"
"295",2/17/1969 0:00:00,"m","F",,"K",,"F-530"
"i69NK",2/18/1969 0:00:00,"m","C",,"NK",,"I-498"
"233",2/19/1969 0:00:00,"f","I",,"NU",,"F-461"
"i69LR",2/19/1969 0:00:00,"f","C",,"LR",,"I-496"
"i69055",2/19/1969 0:00:00,"m","C",,"055",,"I-480"
"254",2/20/1969 0:00:00,"m","I",,"YI",,"F-484"
"397",2/20/1969 0:00:00,"f","F",,"FB",,"F-648"
"269",2/20/1969 0:00:00,"m","A",,"UW",,"F-500"
"232",2/20/1969 0:00:00,"m","I",,"XC",,"F-460"
"231",2/21/1969 0:00:00,"m","A",,"OP",,"F-459"
"239",2/24/1969 0:00:00,"m","H",,"AH",,"F-467"
"i69IK",2/24/1969 0:00:00,"u","C",,"IK",,"I-493"
"i69C7",2/25/1969 0:00:00,"u","A",,"C7",,"I-484"
"235",2/26/1969 0:00:00,"f","A",,"E7",,"F-463"
"304",3/1/1969 0:00:00,"m","F",,"WX",,"B-321"
"255",3/2/1969 0:00:00,"m","A",,"B1",,"F-485"
"285",3/2/1969 0:00:00,"m","A",,"DZ",,"F-520"
"207",3/3/1969 0:00:00,"m","A",,"HS",,"F-433"
"206",3/4/1969 0:00:00,"m","A",,"TW",,"F-432"
"369",3/4/1969 0:00:00,"m","A",,"UG",,"F-619"
"241",3/4/1969 0:00:00,"m","A",,"XR",,"F-469"
"391",3/5/1969 0:00:00,"m","E",,"OE",,"F-642"
"289",3/5/1969 0:00:00,"m","F",,"EK",,"F-524"
"264",3/5/1969 0:00:00,"f","E",,"TI",,"F-495"
"261",3/6/1969 0:00:00,"m","E",,"WP",,"F-492"
"205",3/7/1969 0:00:00,"m","A",,"UH",,"F-431"
"208",3/7/1969 0:00:00,"m","A",,"FF",,"F-434"
"i69G2",3/7/1969 0:00:00,"m","A",,"G2",,"I-488"
"i69UV",3/7/1969 0:00:00,"u","A",,"UV",,"I-502"
"220",3/8/1969 0:00:00,"m","E",,"YM",,"F-447"
"267",3/9/1969 0:00:00,"m","E",,"LW",,"F-498"
"401",3/9/1969 0:00:00,"f","A",,"LI",,"F-674"
"288",3/10/1969 0:00:00,"m","F",,"WT",,"F-523"
"i69G4",3/10/1969 0:00:00,"m","A",,"G4",,"I-490"
"250",3/13/1969 0:00:00,"f","E",,"F9",,"F-480"
"253",3/13/1969 0:00:00,"f","I",,"FH",,"F-483"
"227",3/13/1969 0:00:00,"f","A",,"YJ",,"F-454"
"243",3/14/1969 0:00:00,"m","A",,"DR",,"F-471"
"i69G3",3/15/1969 0:00:00,"m","A",,"G3",,"I-489"
"i69WE",3/15/1969 0:00:00,"f","I",,"WE",,"I-504"
"226",3/16/1969 0:00:00,"f","A",,"OG",,"F-453"
"263",3/16/1969 0:00:00,"f","I",,"CS",,"F-494"
"215",3/16/1969 0:00:00,"f","A",,"UZ",,"F-441"
"i69K6",3/16/1969 0:00:00,"f","A",,"K6",,"I-495"
"247",3/17/1969 0:00:00,"m","E",,"A7",,"F-475"
"i69DC",3/17/1969 0:00:00,"f","C",,"DC",,"I-486"
"234",3/18/1969 0:00:00,"f","I",,"WD",,"F-462"
"i69NI",3/18/1969 0:00:00,"f","C",,"NI",,"I-497"
"i69YB",3/18/1969 0:00:00,"f","F",,"YB",,"I-507"
"229",3/19/1969 0:00:00,"m","A",,"ZA",,"F-456"
"i69BX",3/19/1969 0:00:00,"f","C",,"BX",,"I-483"
"i69R9",3/20/1969 0:00:00,"f","E",,"R9",,"I-501"
"i69W",3/20/1969 0:00:00,"m","F",,"W",,"I-503"
"376",3/21/1969 0:00:00,"m","F",,"OS",,"F-627"
"262",3/23/1969 0:00:00,"f","I",,"TO",,"F-493"
"209",3/24/1969 0:00:00,"f","A",,"WG",,"F-435"
"398",3/24/1969 0:00:00,"f","E",,"ED",,"F-649"
"276",3/24/1969 0:00:00,"f","A",,"AS",,"F-509"
"245",3/25/1969 0:00:00,"m","J",,"A6",,"F-473"
"236",3/25/1969 0:00:00,"f","E",,"LU",,"F-464"
"213",3/26/1969 0:00:00,"m","A",,"UI",,"F-439"
"251",3/27/1969 0:00:00,"m","E",,"TA",,"F-481"
"248",3/28/1969 0:00:00,"m","J",,"TN",,"F-476"
"219",3/29/1969 0:00:00,"m","E",,"H7",,"F-445"
"270",3/29/1969 0:00:00,"m","E",,"I8",,"F-503"
"277",3/29/1969 0:00:00,"f","A",,"GS",,"F-510"
"293",3/30/1969 0:00:00,"f","F",,"JI",,"F-528"
"i69K1",3/30/1969 0:00:00,"f","F",,"K1",,"I-494"
"224",3/31/1969 0:00:00,"m","H",,"S017",,"F-451"
"i69GK",3/31/1969 0:00:00,"f","A",,"GK",,"I-491"
"310",4/1/1969 0:00:00,"f","F",,"ZM",,"B-341"
"350",4/1/1969 0:00:00,"f","F",,"FC",,"F-599"
"303",4/1/1969 0:00:00,"m","F",,"OT",,"F-562"
"244",4/1/1969 0:00:00,"f","A",,"E3",,"F-472"
"249",4/2/1969 0:00:00,"m","J",,"JP",,"F-477"
"i69D8",4/2/1969 0:00:00,"m","E",,"D8",,"I-485"
"260",4/6/1969 0:00:00,"f","A",,"LH",,"F-491"
"i69OR",4/6/1969 0:00:00,"m","A",,"OR",,"I-500"
"i69YL",4/6/1969 0:00:00,"f","F",,"YL",,"I-508"
"i69HR",4/8/1969 0:00:00,"m","C",,"HR",,"I-492"
"228",4/9/1969 0:00:00,"m","A",,"TU",,"F-455"
"274",4/10/1969 0:00:00,"f","A",,"BN",,"F-507"
"i69E8",4/11/1969 0:00:00,"f","A",,"E8",,"I-487"
"266",4/12/1969 0:00:00,"m","A",,"GI",,"F-497"
"271",4/17/1969 0:00:00,"m","E",,"IR",,"F-504"
"204",4/18/1969 0:00:00,"m","A",,"C4",,"F-430"
"223",4/19/1969 0:00:00,"m","H",,"HT",,"F-450"
"252",4/20/1969 0:00:00,"f","E",,"118",,"F-482"
"265",4/20/1969 0:00:00,"f","A",,"XW",,"F-496"
"259",5/3/1969 0:00:00,"f","A",,"DT",,"F-489"
"218",5/11/1969 0:00:00,"f","E",,"S013",,"F-444"
